commission_id,commission_rate,commission_amount,payment_method,payment_date
605,5.8,31428,Cash,11/30/2021
606,3.2,45845,Cheque,4/1/2023
607,4.1,26453,Pay Order,2/19/2020
608,3.2,35431,EFT,6/30/2020
609,3.3,20756,Draft,4/10/2022
610,3.2,49899,Draft,6/23/2021
611,5.7,29212,EFT,6/3/2020
612,,49800,Cash,2/17/2021
613,4.3,8173,Pay Order,7/4/2022
614,2.1,41326,EFT,2/17/2023
615,2.4,10676,EFT,6/19/2020
616,3.7,10745,Cash,6/13/2019
617,,19067,Cash,12/12/2020
618,3.4,15073,Cheque,8/25/2021
619,,6264,Pay Order,3/18/2021
620,3.1,35875,Cheque,7/24/2021
621,5.7,21349,Draft,12/22/2019
622,,13752,Cheque,7/26/2022
623,4.0,15325,Cash,8/1/2021
624,5.3,17264,EFT,11/2/2022
625,4.3,12490,Pay Order,8/12/2019
626,2.7,30051,Pay Order,12/4/2022
627,5.2,30298,Cash,4/19/2022
628,5.4,43696,Pay Order,9/14/2023
629,3.6,23844,EFT,3/22/2020
630,4.9,17989,Cheque,3/27/2023
631,4.6,24461,EFT,1/11/2022
632,4.0,9779,Pay Order,4/16/2021
633,3.3,30728,Draft,12/1/2021
634,5.5,39447,Pay Order,7/3/2020
635,4.2,45667,Cheque,4/15/2023
636,3.9,46266,Cash,4/1/2020
637,3.8,40147,Cheque,6/2/2020
638,5.3,9223,Cheque,7/3/2023
639,3.3,41027,Draft,3/27/2021
640,2.4,48307,Cash,11/25/2020
641,4.6,14426,Cheque,6/23/2019
642,,9551,Cash,5/17/2022
643,2.4,6005,Cheque,1/5/2022
644,5.9,44830,Cash,4/30/2019
645,5.7,26429,Pay Order,2/6/2020
646,4.5,16571,Pay Order,2/21/2022
647,,27626,Cash,11/5/2020
648,2.9,37517,Draft,6/6/2021
649,2.9,16656,Draft,1/24/2020
650,3.8,12696,Draft,6/24/2021
651,2.9,41414,Pay Order,8/26/2023
652,4.8,10763,Pay Order,3/4/2020
653,2.7,31643,Cash,11/14/2019
654,2.5,2918,Cheque,11/4/2019
655,5.2,35369,EFT,12/12/2020
656,2.0,23344,EFT,6/4/2021
657,5.3,19575,Pay Order,11/9/2022
658,4.6,46501,EFT,3/12/2022
659,2.4,19705,EFT,3/9/2022
660,,4915,EFT,12/27/2023
661,3.5,25953,Cheque,10/21/2019
662,3.3,37190,Cash,12/28/2022
663,,21778,Pay Order,8/15/2021
664,3.5,28558,Cheque,11/17/2020
665,4.6,5335,EFT,9/5/2020
666,4.6,8277,Draft,6/18/2019
667,,38485,EFT,2/1/2022
668,,47070,Pay Order,11/9/2023
669,3.0,32847,Cheque,5/27/2019
670,3.9,9374,Cash,8/29/2019
671,,37178,Cheque,9/19/2019
672,5.7,9848,Draft,1/30/2021
673,2.2,43895,Pay Order,5/6/2023
674,3.8,5487,Draft,5/8/2019
675,3.7,18421,Cash,1/17/2019
676,3.7,20540,EFT,9/25/2022
677,5.3,2218,Draft,6/25/2019
678,5.8,1529,Cash,1/17/2019
679,2.0,17076,Draft,2/28/2020
680,5.0,43702,Pay Order,6/26/2019
681,2.1,13131,Pay Order,4/26/2023
682,3.3,46245,Cheque,12/3/2022
683,3.4,32951,Cheque,9/16/2022
684,4.8,13995,Cheque,9/12/2023
685,4.5,9763,Cheque,2/6/2022
686,3.1,27413,EFT,2/28/2022
687,3.6,24807,Pay Order,6/11/2020
688,4.2,42032,Draft,10/4/2021
689,4.6,47126,Cash,3/17/2023
690,5.6,20871,Cheque,11/9/2020
691,3.4,3684,Cheque,7/20/2019
692,2.3,27254,Cheque,7/8/2022
693,5.0,9004,Cash,10/23/2023
694,2.3,22800,Cheque,7/5/2020
695,,35988,Cheque,11/15/2020
696,4.7,48485,Cheque,2/15/2021
697,,18689,Pay Order,7/22/2022
698,2.5,45885,Cash,2/27/2022
699,3.4,49892,Draft,7/30/2020
700,5.8,1467,Draft,12/6/2022
701,,37976,Cheque,8/7/2021
702,3.7,8072,Cash,8/11/2022
703,4.6,24377,Cheque,10/28/2019
704,3.9,29224,Pay Order,3/13/2020
705,5.3,48557,Draft,11/20/2020
706,4.1,48208,Cash,4/27/2021
707,4.8,31842,Draft,7/26/2020
708,3.7,6759,Cheque,4/22/2020
709,5.0,3283,EFT,8/21/2020
710,3.3,27164,Pay Order,12/22/2023
711,3.0,27727,Cash,7/7/2020
712,3.8,39209,Cheque,3/6/2023
713,3.8,1421,EFT,1/20/2021
714,3.2,7548,EFT,4/17/2023
715,5.7,25840,Pay Order,6/8/2022
716,3.6,39086,EFT,8/17/2020
717,4.0,5672,EFT,1/5/2023
718,4.8,32636,Pay Order,11/26/2021
719,2.8,12914,EFT,3/13/2023
720,5.6,25662,Cash,6/22/2021
721,,35692,Pay Order,4/25/2021
722,2.6,45281,Pay Order,8/5/2020
723,3.4,49181,Pay Order,8/7/2022
724,,37590,Pay Order,8/4/2019
725,4.1,33457,Cash,4/16/2023
726,2.6,7625,Draft,3/4/2022
727,2.3,27539,Cheque,5/30/2021
728,2.7,23249,EFT,3/18/2019
729,3.4,25827,EFT,2/3/2021
730,,41461,Cash,1/4/2022
731,2.9,10954,EFT,10/28/2019
732,2.1,37102,EFT,1/10/2019
733,4.2,45323,Cash,8/3/2021
734,5.6,7246,Pay Order,5/17/2020
735,5.5,39981,EFT,5/1/2020
736,4.2,48035,Cash,2/25/2022
737,2.0,18156,EFT,11/10/2019
738,2.7,39243,Cheque,5/4/2022
739,2.9,26301,EFT,7/22/2021
740,5.4,8714,Draft,12/7/2021
741,2.6,44614,Draft,6/15/2019
742,2.6,33442,EFT,6/5/2020
743,4.6,44470,Pay Order,1/11/2019
744,3.6,44052,Cash,2/25/2019
745,3.5,27584,Pay Order,10/12/2022
746,2.5,29230,Cash,2/10/2022
747,3.0,18705,Draft,12/21/2022
748,2.4,20892,Draft,8/16/2019
749,5.6,34589,Pay Order,11/14/2020
750,5.2,13353,EFT,4/24/2023
751,2.9,3262,Cheque,6/24/2021
752,5.8,18060,Draft,2/9/2022
753,4.8,21656,Cheque,10/21/2021
754,2.1,11177,EFT,3/25/2019
755,4.9,34422,Draft,3/2/2021
756,4.5,37222,Cash,1/30/2022
757,3.1,32626,Draft,1/26/2023
758,2.5,37234,Cash,6/23/2021
759,2.5,40326,Cash,6/3/2020
760,4.9,33476,Cheque,12/9/2020
761,5.8,31462,Draft,12/23/2023
762,5.7,43643,Draft,8/28/2021
763,4.0,4640,EFT,8/23/2023
764,5.7,18473,EFT,11/1/2020
765,,32512,Cash,7/8/2021
766,3.3,38545,Cash,2/17/2023
767,2.7,24422,Pay Order,11/15/2019
768,5.6,40890,Draft,7/18/2020
769,3.7,17911,Pay Order,4/21/2023
770,4.9,33184,Draft,8/20/2019
771,5.1,44912,Cash,4/6/2023
772,3.6,17792,Pay Order,1/19/2019
773,2.2,32881,Pay Order,10/10/2020
774,5.9,21043,Cash,7/17/2019
775,4.2,14362,Draft,7/11/2021
776,5.8,35187,Cheque,9/19/2020
777,3.6,15773,Draft,10/21/2019
778,3.8,37118,EFT,2/10/2023
779,4.5,30698,EFT,11/2/2022
780,4.0,35387,Pay Order,1/5/2022
781,3.4,43213,Pay Order,1/30/2020
782,3.6,30200,Draft,3/22/2020
783,5.5,17890,Cheque,1/12/2023
784,,3117,Draft,1/7/2020
785,3.5,19019,EFT,12/5/2021
786,4.6,26787,EFT,10/24/2020
787,5.0,1370,Cheque,10/11/2022
788,4.8,1966,EFT,7/10/2021
789,5.8,16651,Pay Order,10/3/2022
790,4.4,6419,Cheque,6/17/2021
791,3.0,26519,Pay Order,9/5/2022
792,2.3,2428,Cash,5/23/2020
793,4.5,37815,Pay Order,1/8/2019
794,5.3,19248,Pay Order,7/31/2019
795,3.6,42617,Cash,2/19/2023
796,3.9,48060,EFT,8/30/2023
797,5.8,4085,Pay Order,1/10/2019
798,4.4,20274,EFT,11/1/2020
799,2.1,37073,EFT,5/3/2021
800,3.8,49555,Pay Order,10/31/2022
801,4.4,46295,Pay Order,5/12/2023
802,4.8,10089,Draft,3/12/2021
803,4.3,9068,Draft,2/15/2023
804,4.4,29861,Draft,6/8/2021
805,5.7,44170,Draft,12/16/2019
806,,34019,Pay Order,1/27/2019
807,5.8,27026,Pay Order,10/11/2019
808,3.0,36463,Cheque,7/6/2022
809,4.3,27323,Pay Order,10/14/2023
810,4.4,39302,EFT,8/7/2022
811,5.2,40129,Cash,8/17/2020
812,4.3,1323,Cheque,5/7/2019
813,5.0,14081,EFT,6/4/2019
814,5.4,33556,Cash,2/2/2019
815,,36227,Cheque,9/20/2019
816,4.0,19359,Draft,12/23/2022
817,5.4,14505,Pay Order,10/10/2022
818,2.2,11010,EFT,8/23/2020
819,5.8,14787,Pay Order,8/24/2023
820,2.2,28661,Draft,1/10/2022
821,5.9,25105,Pay Order,5/27/2019
822,2.7,33148,Draft,6/11/2019
823,5.1,24669,Cheque,1/14/2021
824,4.5,42431,Cheque,9/11/2020
825,2.8,6320,EFT,11/4/2022
826,3.5,46284,Draft,4/18/2023
827,3.2,7403,EFT,6/5/2022
828,2.4,18292,Cash,7/24/2021
829,3.7,12470,EFT,5/17/2019
830,2.8,44848,Cash,2/9/2020
831,3.6,45863,Pay Order,3/15/2023
832,4.1,23862,Cheque,8/25/2022
833,5.7,30340,Draft,8/25/2022
834,3.4,27266,Draft,7/24/2022
835,4.7,16972,Pay Order,7/5/2020
836,4.1,43639,EFT,9/22/2020
837,2.5,40740,EFT,7/22/2022
838,4.6,44151,Cash,8/24/2023
839,2.5,42575,EFT,9/11/2019
840,5.6,14471,Pay Order,2/13/2022
841,5.3,6320,Cash,3/15/2020
842,4.2,34905,Draft,5/31/2019
843,3.9,46382,Cash,7/24/2021
844,4.2,11078,Cheque,10/5/2023
845,4.6,34533,Cheque,4/1/2023
846,3.8,23559,Draft,7/23/2022
847,3.7,30394,Cash,3/9/2020
848,5.6,19371,Cash,6/27/2021
849,4.4,21456,Pay Order,8/19/2022
850,2.4,40269,Cash,3/21/2019
851,5.5,18836,EFT,1/8/2022
852,5.0,27664,Cheque,4/9/2022
853,4.5,42732,Pay Order,1/14/2023
854,3.8,22456,Cash,8/14/2019
855,3.3,12854,Cash,10/24/2021
856,2.6,17959,Cheque,12/1/2022
857,2.3,10872,Pay Order,11/9/2019
858,3.9,28013,Draft,3/21/2023
859,5.6,41528,Pay Order,9/19/2020
860,5.9,1988,EFT,10/3/2023
861,4.1,3309,Cheque,7/18/2019
862,,21363,Cheque,9/14/2019
863,3.9,32431,Pay Order,3/6/2022
864,2.2,19876,EFT,9/24/2021
865,,13117,EFT,11/2/2021
866,5.0,19049,EFT,4/24/2022
867,3.4,41875,EFT,12/19/2019
868,4.4,20132,Cheque,4/8/2021
869,2.8,25298,EFT,11/14/2021
870,4.4,7788,Pay Order,7/1/2020
871,2.2,12110,Cash,9/1/2023
872,5.5,48057,Draft,2/6/2021
873,3.7,27319,EFT,10/5/2020
874,5.6,24897,Pay Order,11/1/2020
875,2.5,28430,Draft,7/15/2021
876,4.2,7437,Cheque,7/4/2020
877,5.8,14744,Cheque,1/11/2023
878,2.9,33579,Cash,8/21/2021
879,5.7,43205,EFT,12/7/2023
880,5.1,24624,Draft,7/6/2019
881,5.1,14163,Pay Order,5/24/2021
882,5.7,38826,Draft,9/4/2020
883,2.8,28232,Draft,5/5/2019
884,4.7,31920,Cash,9/15/2019
885,2.9,34151,Pay Order,10/10/2021
886,3.3,24318,Cheque,3/6/2021
887,3.1,10012,Cheque,5/13/2022
888,5.5,45527,Cash,12/2/2022
889,5.0,1305,Cheque,6/5/2023
890,3.9,43056,Draft,3/17/2020
891,4.6,1348,Cash,11/7/2022
892,5.6,790,Cash,4/28/2019
893,3.7,30641,Pay Order,5/7/2023
894,5.1,20193,Draft,9/22/2022
895,5.2,42868,Cheque,11/28/2020
896,4.3,8359,Cheque,7/25/2021
897,3.2,31667,Draft,12/15/2023
898,,27768,Cash,6/9/2020
899,5.6,16960,Cash,7/24/2019
900,5.3,39613,Draft,4/16/2022
901,5.0,984,Pay Order,9/16/2020
902,5.3,1060,Cash,1/4/2022
903,5.5,9211,Draft,12/13/2019
904,,15189,Cash,5/21/2021
905,2.7,17905,EFT,10/29/2021
906,5.7,7286,EFT,7/6/2021
907,3.9,6216,Cheque,12/8/2020
908,2.2,1531,Draft,3/19/2023
909,2.3,47375,Cheque,6/21/2019
910,5.1,3224,Draft,3/6/2023
911,2.4,39901,EFT,9/21/2020
912,,12844,Draft,10/3/2022
913,2.4,21585,Cash,6/14/2019
914,3.0,32475,Draft,7/17/2020
915,2.9,26051,Draft,7/13/2023
916,2.8,48301,Cash,10/28/2019
917,5.7,36115,EFT,7/20/2022
918,2.9,30689,Cheque,1/20/2021
919,2.2,47855,Cheque,11/18/2022
920,2.6,27791,Draft,4/22/2021
921,2.2,20413,Cheque,9/6/2020
922,5.7,34914,Draft,11/2/2021
923,5.4,25719,Pay Order,7/8/2023
924,4.9,20151,Cash,11/10/2023
925,3.9,13992,EFT,11/16/2021
926,4.0,20323,Draft,6/28/2022
927,2.9,23266,EFT,9/12/2023
928,4.7,37782,Cheque,9/3/2020
929,6.0,3392,Cheque,9/16/2019
930,5.9,25583,Pay Order,9/11/2021
931,3.4,5446,Draft,8/8/2022
932,5.8,28163,Draft,1/18/2022
933,4.8,21735,Draft,9/26/2020
934,5.8,27750,Pay Order,4/19/2020
935,5.5,6603,Pay Order,2/17/2022
936,2.7,20100,Pay Order,5/30/2022
937,5.6,48311,Pay Order,12/13/2022
938,2.2,18169,Draft,7/3/2022
939,4.4,37912,Cheque,12/8/2020
940,5.2,9236,Pay Order,4/18/2019
941,3.3,30520,Cash,9/14/2019
942,4.6,26704,Draft,2/3/2021
943,,12197,Draft,8/9/2020
944,4.9,20556,Pay Order,9/1/2023
945,3.6,36757,Cash,6/22/2021
946,3.9,1968,Pay Order,7/14/2022
947,2.4,24761,EFT,8/3/2023
948,3.3,38840,EFT,11/23/2020
949,2.9,8887,Cheque,1/9/2023
950,3.3,12381,Cash,12/29/2020
951,4.5,28318,Cheque,10/2/2019
952,5.9,39619,Draft,10/14/2020
953,2.3,5207,EFT,5/30/2022
954,3.2,36070,EFT,4/26/2020
955,3.2,40682,Cash,5/1/2019
956,2.3,8131,Pay Order,5/18/2022
957,5.2,37403,EFT,11/17/2022
958,2.4,14272,EFT,4/13/2019
959,5.3,41715,EFT,12/21/2022
960,4.8,29481,Draft,2/12/2021
961,2.4,11746,Cheque,9/24/2019
962,4.7,41130,Pay Order,7/30/2021
963,4.2,10530,EFT,5/16/2023
964,3.7,21216,Draft,1/1/2023
965,5.8,2227,Pay Order,9/16/2022
966,6.0,48085,Cheque,1/23/2021
967,4.3,6906,EFT,5/24/2020
968,5.6,24360,EFT,8/24/2023
969,2.4,29503,Draft,3/6/2019
970,6.0,39899,Cash,8/22/2020
971,4.8,14164,Cash,4/10/2019
972,3.9,23530,EFT,4/2/2023
973,3.7,2634,EFT,6/8/2019
974,4.7,11779,Draft,6/6/2023
975,4.1,43240,Pay Order,1/11/2022
976,4.4,15092,Pay Order,7/24/2021
977,2.2,2227,Cash,8/31/2019
978,3.5,5723,Cash,8/31/2021
979,4.8,33761,EFT,1/10/2020
980,4.8,10766,Cheque,12/29/2019
981,5.4,44529,Draft,11/9/2021
982,,17100,Cheque,11/10/2021
983,5.8,49346,Pay Order,3/4/2022
984,,12463,Draft,12/25/2020
985,5.5,16703,EFT,3/8/2021
986,3.4,17705,Draft,12/26/2021
987,4.0,18923,EFT,1/1/2022
988,4.7,14917,Draft,9/8/2021
989,2.6,33671,EFT,7/30/2019
990,2.2,25482,Draft,9/19/2019
991,4.2,4915,Pay Order,11/20/2022
992,4.2,36442,EFT,6/10/2021
993,4.7,43941,Cash,8/19/2021
994,5.9,7698,Cheque,3/19/2021
995,4.2,28065,EFT,1/29/2020
996,5.8,10343,Cash,4/18/2022
997,4.5,28478,EFT,8/15/2023
998,3.5,3200,Draft,10/3/2020
999,4.8,24605,Cheque,12/15/2021
1000,2.3,13767,EFT,10/1/2021
1001,2.9,4163,EFT,7/1/2024
1002,5.4,43468,Cash,6/8/2024
1003,5.8,14048,Cheque,7/30/2024
1004,2.2,47153,Pay Order,12/20/2024
1005,5.7,40901,Cheque,7/14/2024
1006,3.1,7604,Draft,10/2/2024
1007,3.2,22328,Pay Order,10/25/2024
1008,4.1,30777,Pay Order,2/4/2024
1009,5.5,8487,EFT,8/31/2024
1010,3.7,8453,Cash,7/27/2024
1011,,27706,Draft,11/1/2024
1012,5.8,3392,Cash,2/5/2024
1013,4.5,30680,Draft,1/24/2024
1014,5.6,6341,Cash,6/19/2024
1015,2.3,29402,Pay Order,8/15/2024
1016,2.2,30028,EFT,2/26/2024
1017,,33446,Cash,4/15/2024
1018,2.5,10058,Pay Order,4/23/2024
1019,2.3,45884,Pay Order,1/9/2024
1020,3.9,33225,Draft,10/17/2024
1021,2.6,9473,Cheque,10/22/2024
1022,3.1,44839,Draft,4/10/2024
1023,5.8,7422,Cash,11/15/2024
1024,2.5,49648,Cash,3/25/2024
1025,5.8,39237,Pay Order,4/18/2024
1026,2.2,33870,Cheque,4/26/2024
1027,,44810,Draft,12/4/2024
1028,4.6,16976,Draft,12/20/2024
1029,3.7,5495,Draft,4/26/2024
1030,4.2,11262,EFT,10/14/2024
1031,4.6,44593,EFT,8/24/2024
1032,4.5,4117,Cash,7/5/2024
1033,4.6,44906,Cash,8/28/2024
1034,4.0,16129,Pay Order,8/20/2024
1035,2.7,15443,Cash,6/29/2024
1036,4.2,35520,Cheque,10/29/2024
1037,,16829,EFT,10/9/2024
1038,2.8,47390,Cheque,8/8/2024
1039,5.3,29405,Cash,2/24/2024
1040,2.2,5818,Draft,9/22/2024
1041,3.4,2513,EFT,1/4/2024
1042,5.7,14847,Draft,12/13/2024
1043,4.6,48559,Pay Order,10/3/2024
1044,4.2,23981,Cheque,12/11/2024
1045,,30799,EFT,10/12/2024
1046,2.9,17977,Cheque,6/24/2024
1047,5.7,45735,Cash,2/8/2024
1048,4.1,15085,Cheque,3/24/2024
1049,5.8,36905,Cash,8/16/2024
1050,3.2,23964,Draft,5/13/2024
1051,3.6,45735,Pay Order,3/17/2024
1052,2.3,29417,Pay Order,10/5/2024
1053,4.8,37837,Cheque,9/28/2024
1054,,30686,Draft,7/21/2024
1055,2.4,43169,EFT,6/14/2024
1056,2.4,9805,Cheque,8/8/2024
1057,4.6,13258,Cheque,10/24/2024
1058,3.5,32223,Cash,1/30/2024
1059,3.1,38840,Pay Order,8/31/2024
1060,3.4,13074,Cheque,6/12/2024
1061,2.4,35875,Pay Order,12/11/2024
1062,,30152,EFT,4/30/2024
1063,3.0,23183,EFT,5/23/2024
1064,2.1,15385,Cash,1/3/2024
1065,5.3,27862,Cheque,4/8/2024
1066,4.6,9948,Cheque,2/27/2024
1067,3.9,39966,Cheque,10/18/2024
1068,2.9,25985,EFT,3/9/2024
1069,4.5,33537,Draft,11/14/2024
1070,3.2,39970,Draft,3/13/2024
1071,,48132,EFT,9/29/2024
1072,5.4,39527,Cheque,5/5/2024
1073,2.9,35046,EFT,6/10/2024
1074,4.0,2914,Pay Order,4/6/2024
1075,3.3,4074,Pay Order,10/20/2024
1076,3.0,45924,Draft,4/13/2024
1077,3.0,12975,Cash,8/16/2024
1078,3.3,22890,Draft,5/8/2024
1079,2.6,26453,Draft,3/6/2024
1080,2.7,8276,Cheque,9/14/2024
1081,5.8,2611,Cash,9/18/2024
1082,4.9,20182,Pay Order,7/18/2024
1083,3.3,46594,Pay Order,10/30/2024
1084,,41688,EFT,10/6/2024
1085,5.5,20075,Draft,11/2/2024
1086,5.2,18977,Pay Order,2/4/2024
1087,5.8,9096,Cash,9/23/2024
1088,4.2,8179,Cash,11/2/2024
1089,3.7,33282,Draft,7/19/2024
1090,4.7,1966,Cash,2/27/2024
1091,3.2,41610,Cash,6/26/2024
1092,4.2,23405,Cheque,2/2/2024
1093,5.8,40082,Cheque,6/23/2024
1094,2.8,47505,Cash,6/6/2024
1095,4.3,48055,Cash,3/8/2024
1096,3.6,8187,Cash,9/30/2024
1097,,10088,Cash,9/24/2024
1098,4.9,8816,Pay Order,9/3/2024
1099,2.0,44903,Pay Order,3/15/2024
1100,2.7,1936,Cheque,1/11/2024
1101,3.8,27027,Cheque,1/11/2024
1102,,43236,Draft,5/21/2024
1103,3.0,13602,Draft,9/28/2024
1104,3.5,10413,EFT,10/16/2024
1105,2.7,15095,EFT,5/11/2024
1106,2.8,24835,Pay Order,1/18/2024
1107,2.9,41048,EFT,4/5/2024
1108,2.8,36911,Pay Order,3/11/2024
1109,,46985,EFT,11/9/2024
1110,5.1,18718,Cheque,1/22/2024
1111,2.7,20300,Cheque,1/9/2024
1112,4.4,33201,Draft,4/14/2024
1113,2.2,28699,Draft,8/2/2024
1114,4.0,10057,Draft,7/5/2024
1115,4.8,20107,Cheque,2/19/2024
1116,,12649,Cheque,12/6/2024
1117,5.1,26747,Cash,9/20/2024
1118,4.2,27350,Cash,8/9/2024
1119,3.0,43305,Cheque,1/28/2024
1120,3.8,49017,Cash,1/21/2024
1121,3.8,10776,Pay Order,12/25/2024
1122,4.7,26101,Draft,11/26/2024
1123,5.0,21747,Pay Order,4/22/2024
1124,5.8,43972,Draft,12/25/2024
1125,3.8,20199,Pay Order,7/12/2024
1126,5.4,14279,Cash,8/8/2024
1127,5.2,17363,Cash,8/24/2024
1128,4.5,37392,Cheque,6/4/2024
1129,5.0,38276,EFT,8/31/2024
1130,3.7,13342,Pay Order,8/26/2024
1131,3.4,22185,Cash,4/25/2024
1132,2.5,30810,Cash,1/24/2024
1133,2.2,32088,Cheque,12/27/2024
1134,5.2,4416,Cash,5/10/2024
1135,3.8,29575,Cash,6/16/2024
1136,4.5,7914,EFT,7/20/2024
1137,,29202,Cash,1/23/2024
1138,2.7,48028,EFT,12/27/2024
1139,4.3,12678,Cheque,8/7/2024
1140,5.8,48960,Cheque,12/16/2024
1141,3.0,33597,Draft,12/21/2024
1142,2.6,31644,Pay Order,10/3/2024
1143,2.7,932,Cash,6/3/2024
1144,5.2,44910,Draft,9/21/2024
1145,5.3,28643,EFT,12/13/2024
1146,3.5,14487,Draft,5/22/2024
1147,6.0,4954,EFT,6/13/2024
1148,3.8,29003,Draft,8/11/2024
1149,3.9,34401,Cash,10/25/2024
1150,4.7,16174,Cash,7/7/2024
1151,3.5,20665,Draft,9/22/2024
1152,5.2,46384,Draft,10/1/2024
1153,5.1,9940,Cheque,8/9/2024
1154,4.0,4493,EFT,12/27/2024
1155,5.8,39668,Pay Order,12/11/2024
1156,5.0,2050,EFT,10/2/2024
1157,3.1,24224,Draft,12/5/2024
1158,3.3,39554,EFT,7/13/2024
1159,4.8,5460,Pay Order,12/30/2024
1160,3.0,25374,Draft,9/13/2024
1161,2.1,20097,Cheque,9/5/2024
1162,,5424,Draft,1/3/2024
1163,4.8,13280,EFT,5/28/2024
1164,2.1,45964,Pay Order,3/20/2024
1165,3.2,35979,EFT,2/4/2024
1166,3.4,20624,Draft,2/28/2024
1167,4.9,21453,Draft,4/3/2024
1168,4.2,42076,Draft,12/4/2024
1169,3.8,30781,Cheque,11/21/2024
1170,2.9,35255,Pay Order,7/13/2024
1171,4.7,9679,Pay Order,4/19/2024
1172,2.9,9502,Cheque,7/13/2024
1173,3.6,24947,Cash,1/29/2024
1174,2.5,42636,Cash,9/24/2024
1175,5.5,40930,Draft,2/20/2024
1176,4.7,11434,Cheque,8/3/2024
1177,2.7,20941,Pay Order,7/1/2024
1178,4.2,14279,Pay Order,1/14/2024
1179,5.4,47295,EFT,1/3/2024
1180,2.5,13222,Draft,5/18/2024
1181,3.1,49717,Pay Order,7/19/2024
1182,3.9,11032,Cash,12/18/2024
1183,4.3,6640,EFT,6/21/2024
1184,2.6,45414,Pay Order,10/5/2024
1185,5.5,10844,Cash,2/29/2024
1186,4.2,41783,Cheque,12/28/2024
1187,4.0,44971,Cash,11/23/2024
1188,3.8,48424,EFT,10/9/2024
1189,3.8,22184,Pay Order,7/20/2024
1190,4.4,5316,Cheque,9/29/2024
1191,5.7,29872,Draft,10/29/2024
1192,4.7,9615,Draft,2/2/2024
1193,2.6,41751,Cheque,12/18/2024
1194,2.8,21493,Cheque,10/14/2024
1195,5.6,29001,Draft,4/10/2024
1196,2.6,31728,Draft,8/10/2024
1197,3.3,46438,Cheque,11/17/2024
1198,4.6,49404,Pay Order,9/1/2024
1199,2.7,40884,EFT,6/30/2024
1200,5.3,42562,Pay Order,6/22/2024
