rent_id,property_id,agreement_date,rent_start_date,rent_end_date,rent_amount,client_id,commission_id,contract_id
1,171,2020-02-15,2020-04-18,2025-04-18,50604.0,193,846,1
2,259,2020-01-05,2020-02-29,2021-02-28,49528.0,21,269,2
3,210,2020-07-11,2020-10-01,2023-10-01,38420.0,765,791,3
4,765,2021-04-08,2021-06-30,2024-06-30,27640.0,668,31,4
5,546,2023-02-08,2023-05-25,2024-05-25,59525.0,941,743,5
6,280,2024-04-20,2024-08-18,2029-08-18,66308.0,1000,730,6
7,898,2023-09-29,2023-11-12,2027-11-12,58317.0,165,546,7
8,647,2022-10-24,2022-12-10,2026-12-10,20098.0,274,644,8
9,318,2019-12-14,2020-02-02,2024-02-02,18164.0,67,192,9
10,662,2021-01-22,2021-04-30,2026-04-30,57592.0,990,762,10
11,642,2019-09-29,2020-01-13,2022-01-13,44633.0,144,907,11
12,309,2019-07-28,2019-11-04,2024-11-04,,503,282,12
13,91,2021-08-06,2021-09-08,2025-09-08,51883.0,259,810,13
14,115,2019-07-25,2019-11-19,2022-11-19,72455.0,731,469,14
15,983,2022-08-15,2022-09-18,2026-09-18,58371.0,918,678,15
16,28,2020-12-04,2021-01-05,2026-01-05,62570.0,225,450,16
17,788,2020-09-27,2020-12-14,2023-12-14,28876.0,795,270,17
18,396,2024-03-06,2024-05-02,2027-05-02,16716.0,555,740,18
19,530,2022-07-05,2022-10-01,2027-10-01,26999.0,929,47,19
20,989,2022-01-22,2022-03-19,2026-03-19,26068.0,83,847,20
21,422,2024-02-20,2024-05-16,2026-05-16,68909.0,277,361,21
22,366,2022-01-22,2022-02-27,2026-02-27,65626.0,12,557,22
23,669,2019-06-15,2019-09-26,2022-09-26,32011.0,713,918,23
24,125,2019-08-18,2019-11-02,2023-11-02,63268.0,558,318,24
25,236,2019-05-23,2019-08-31,2022-08-31,71713.0,372,836,25
26,92,2024-01-04,2024-04-22,2028-04-22,69425.0,987,368,26
27,568,2020-10-04,2020-11-06,2023-11-06,61931.0,51,71,27
28,921,2019-08-15,2019-10-08,2021-10-08,25241.0,329,687,28
29,753,2022-03-12,2022-05-21,2027-05-21,71644.0,456,445,29
30,683,2020-01-03,2020-03-27,2025-03-27,50889.0,781,6,30
31,169,2022-02-13,2022-04-25,2025-04-25,65443.0,708,276,31
32,564,2023-03-03,2023-06-04,2024-06-04,,463,587,32
33,776,2021-04-01,2021-05-08,2023-05-08,38673.0,782,862,33
34,472,2020-10-09,2020-11-21,2024-11-21,37417.0,176,998,34
35,957,2019-11-11,2020-03-02,2023-03-02,,493,765,35
36,596,2021-12-05,2022-03-02,2023-03-02,42835.0,458,616,36
37,782,2023-02-08,2023-03-27,2024-03-27,23732.0,15,308,37
38,719,2021-12-03,2022-01-08,2025-01-08,30353.0,824,505,38
39,10,2022-09-16,2022-12-24,2026-12-24,,48,575,39
40,19,2022-03-30,2022-05-03,2027-05-03,60205.0,691,818,40
41,332,2022-02-08,2022-05-20,2025-05-20,,749,105,41
42,920,2020-03-21,2020-05-01,2021-05-01,28770.0,341,388,42
43,604,2023-06-19,2023-07-28,2026-07-28,51232.0,382,243,43
44,198,2022-02-28,2022-06-25,2026-06-25,28583.0,696,956,44
45,745,2023-02-07,2023-05-12,2024-05-12,46057.0,475,66,45
46,406,2023-10-17,2023-12-30,2024-12-30,25787.0,974,462,46
47,942,2019-11-05,2020-01-25,2021-01-25,61128.0,17,384,47
48,373,2021-12-05,2022-02-27,2024-02-27,50448.0,726,534,48
49,316,2019-09-28,2019-11-23,2024-11-23,36909.0,325,424,49
50,329,2024-03-25,2024-05-03,2028-05-03,28130.0,197,882,50
51,733,2022-09-15,2023-01-03,2024-01-03,40133.0,744,43,51
52,638,2021-04-20,2021-08-07,2025-08-07,,575,817,52
53,131,2024-05-04,2024-08-12,2026-08-12,51570.0,619,808,53
54,987,2022-07-22,2022-10-25,2025-10-25,70197.0,791,988,54
55,736,2023-03-15,2023-06-25,2028-06-25,36607.0,972,93,55
56,407,2020-08-20,2020-12-01,2022-12-01,42355.0,801,684,56
57,226,2019-07-09,2019-11-02,2021-11-02,54909.0,510,90,57
58,892,2022-08-07,2022-10-29,2027-10-29,16496.0,427,1000,58
59,918,2023-07-10,2023-09-07,2025-09-07,22043.0,597,382,59
60,74,2024-02-27,2024-06-15,2025-06-15,60319.0,970,418,60
61,242,2023-06-17,2023-08-20,2025-08-20,50693.0,253,612,61
62,466,2023-12-23,2024-01-28,2029-01-28,47250.0,350,710,62
63,991,2019-07-02,2019-08-03,2024-08-03,57245.0,417,825,63
64,653,2020-07-08,2020-09-17,2023-09-17,53719.0,816,2,64
65,698,2020-06-19,2020-09-03,2023-09-03,47264.0,661,642,65
66,116,2021-07-28,2021-09-21,2022-09-21,72044.0,219,348,66
67,799,2021-10-02,2022-01-25,2024-01-25,,224,863,67
68,612,2022-10-27,2022-12-08,2025-12-08,67231.0,690,893,68
69,168,2023-03-26,2023-05-18,2024-05-18,27165.0,851,578,69
70,901,2019-11-09,2020-02-05,2021-02-05,67641.0,547,175,70
71,66,2019-11-26,2020-01-22,2025-01-22,69958.0,908,387,71
72,1,2022-09-20,2022-12-01,2027-12-01,67261.0,577,223,72
73,191,2024-02-23,2024-06-06,2027-06-06,39056.0,613,165,73
74,375,2023-04-03,2023-07-20,2024-07-20,46516.0,327,653,74
75,215,2022-02-01,2022-04-24,2025-04-24,47188.0,352,140,75
76,548,2022-02-14,2022-04-19,2026-04-19,22875.0,954,206,76
77,712,2020-04-08,2020-06-28,2021-06-28,,936,504,77
78,613,2020-09-04,2020-12-25,2021-12-25,27848.0,346,968,78
79,467,2020-11-28,2021-01-07,2024-01-07,32761.0,315,479,79
80,155,2023-04-22,2023-08-08,2027-08-08,68868.0,957,681,80
81,716,2021-08-19,2021-11-28,2026-11-28,54711.0,940,772,81
82,732,2020-12-29,2021-03-24,2022-03-24,,179,585,82
83,919,2020-05-21,2020-08-14,2023-08-14,63426.0,632,719,83
84,748,2019-10-06,2020-02-02,2023-02-02,59915.0,23,954,84
85,428,2020-12-26,2021-03-21,2022-03-21,55353.0,326,786,85
86,295,2024-01-03,2024-03-15,2026-03-15,27272.0,127,559,86
87,378,2020-02-15,2020-04-18,2022-04-18,,258,739,87
88,588,2024-01-21,2024-02-22,2029-02-22,55873.0,684,577,88
89,232,2021-03-15,2021-05-24,2025-05-24,15118.0,70,338,89
90,149,2020-09-12,2020-11-17,2024-11-17,39116.0,264,89,90
91,174,2020-06-23,2020-08-25,2023-08-25,70044.0,90,242,91
92,931,2023-09-30,2023-11-16,2025-11-16,66985.0,16,438,92
93,595,2019-12-01,2020-02-29,2021-02-28,31257.0,353,540,93
94,34,2022-01-22,2022-04-02,2027-04-02,19627.0,943,171,94
95,106,2022-03-27,2022-05-31,2025-05-31,40307.0,682,302,95
96,200,2024-02-07,2024-03-28,2029-03-28,70800.0,283,393,96
97,399,2023-08-24,2023-10-13,2028-10-13,25429.0,603,240,97
98,814,2024-03-16,2024-06-30,2026-06-30,70788.0,764,191,98
99,754,2020-07-26,2020-09-19,2025-09-19,57406.0,857,364,99
100,952,2023-11-11,2024-02-06,2029-02-06,64236.0,935,638,100
101,514,2019-07-21,2019-10-28,2022-10-28,70325.0,856,558,101
102,827,2024-01-05,2024-05-04,2027-05-04,70274.0,241,497,102
103,591,2022-06-02,2022-10-01,2025-10-01,74507.0,270,771,103
104,37,2020-12-10,2021-02-02,2022-02-02,39905.0,587,489,104
105,774,2021-09-26,2021-11-11,2025-11-11,17288.0,139,32,105
106,832,2023-04-23,2023-07-18,2028-07-18,18484.0,33,727,106
107,12,2023-02-09,2023-05-18,2025-05-18,72806.0,664,953,107
108,160,2020-04-15,2020-05-22,2025-05-22,46925.0,633,98,108
109,881,2020-06-20,2020-08-25,2022-08-25,68658.0,416,683,109
110,182,2022-11-22,2023-02-22,2026-02-22,37768.0,657,729,110
111,201,2024-03-25,2024-07-14,2027-07-14,64108.0,9,458,111
112,297,2020-05-08,2020-06-16,2021-06-16,40725.0,580,46,112
113,458,2021-06-30,2021-08-26,2022-08-26,25200.0,94,123,113
114,368,2023-06-20,2023-10-16,2024-10-16,33865.0,513,923,114
115,883,2022-01-15,2022-05-05,2023-05-05,36992.0,651,731,115
116,257,2020-06-25,2020-09-17,2022-09-17,33501.0,71,790,116
117,628,2022-07-14,2022-08-16,2025-08-16,16275.0,553,720,117
118,951,2019-12-13,2020-02-07,2024-02-07,56176.0,374,119,118
119,100,2021-10-07,2021-12-26,2026-12-26,21606.0,753,690,119
120,72,2023-04-26,2023-06-14,2026-06-14,68293.0,953,686,120
121,445,2020-04-18,2020-07-05,2025-07-05,61874.0,745,133,121
122,452,2021-08-09,2021-10-04,2024-10-04,60710.0,278,721,122
123,202,2022-02-02,2022-04-16,2023-04-16,48038.0,528,501,123
124,786,2021-10-26,2022-01-23,2027-01-23,49542.0,743,317,124
125,537,2021-12-10,2022-03-03,2027-03-03,52096.0,287,181,125
126,156,2019-08-02,2019-10-28,2020-10-28,,570,238,126
127,659,2020-07-18,2020-10-11,2021-10-11,16543.0,511,897,127
128,960,2023-11-10,2024-02-16,2028-02-16,,509,571,128
129,336,2022-06-30,2022-08-13,2027-08-13,29989.0,336,696,129
130,234,2019-06-21,2019-10-17,2022-10-17,37356.0,93,570,130
131,685,2024-01-19,2024-03-25,2028-03-25,38471.0,444,435,131
132,940,2022-04-25,2022-08-03,2026-08-03,20438.0,736,509,132
133,81,2021-09-14,2022-01-13,2026-01-13,68794.0,968,676,133
134,667,2020-08-05,2020-10-01,2023-10-01,43204.0,49,42,134
135,838,2020-10-31,2021-02-25,2023-02-25,46183.0,732,623,135
136,11,2020-03-23,2020-06-16,2024-06-16,59945.0,671,802,136
137,607,2021-10-13,2021-12-26,2024-12-26,71375.0,252,231,137
138,416,2022-02-17,2022-05-05,2027-05-05,68745.0,858,694,138
139,62,2022-01-12,2022-04-17,2024-04-17,57561.0,492,218,139
140,780,2023-08-28,2023-10-30,2026-10-30,21872.0,955,961,140
141,405,2020-08-17,2020-11-13,2025-11-13,38006.0,754,516,141
142,665,2019-10-24,2019-11-30,2024-11-30,65496.0,576,167,142
143,138,2022-02-28,2022-06-08,2024-06-08,38917.0,524,355,143
144,240,2021-04-26,2021-06-05,2026-06-05,32596.0,282,116,144
145,592,2020-11-08,2020-12-28,2021-12-28,17880.0,869,18,145
146,777,2021-04-29,2021-07-14,2022-07-14,,885,230,146
147,608,2020-04-08,2020-07-15,2025-07-15,20279.0,181,379,147
148,35,2020-08-16,2020-10-25,2022-10-25,41645.0,213,360,148
149,474,2020-02-19,2020-06-20,2025-06-20,69983.0,785,40,149
150,529,2022-08-29,2022-10-05,2025-10-05,40261.0,408,702,150
151,857,2024-03-18,2024-06-22,2027-06-22,53415.0,476,63,151
152,465,2020-10-15,2021-02-07,2023-02-07,53884.0,893,158,152
153,468,2020-02-10,2020-04-15,2024-04-15,54913.0,643,426,153
154,704,2020-09-29,2021-01-06,2026-01-06,65817.0,913,748,154
155,500,2024-01-09,2024-04-23,2025-04-23,27434.0,711,593,155
156,829,2023-05-09,2023-08-26,2024-08-26,40029.0,689,898,156
157,833,2020-08-09,2020-11-12,2024-11-12,46864.0,912,37,157
158,687,2020-11-18,2021-01-19,2023-01-19,63124.0,992,543,158
159,150,2019-09-30,2020-01-15,2024-01-15,22757.0,863,414,159
160,522,2024-02-05,2024-04-08,2027-04-08,39723.0,593,137,160
161,344,2021-02-10,2021-06-04,2024-06-04,45884.0,756,480,161
162,414,2023-11-26,2024-01-13,2028-01-13,19264.0,667,95,162
163,803,2020-05-26,2020-06-30,2023-06-30,18438.0,41,943,163
164,417,2021-03-14,2021-04-27,2026-04-27,44569.0,916,455,164
165,481,2023-11-10,2024-02-24,2027-02-24,36855.0,789,357,165
166,94,2020-09-22,2020-11-23,2025-11-23,67397.0,946,225,166
167,14,2020-12-10,2021-03-31,2025-03-31,39320.0,8,945,167
168,976,2020-08-13,2020-11-17,2024-11-17,,256,580,168
169,461,2023-07-20,2023-11-16,2025-11-16,27798.0,975,814,169
170,354,2021-06-18,2021-08-21,2024-08-21,57594.0,874,319,170
171,109,2019-05-13,2019-06-24,2023-06-24,34323.0,266,649,171
172,725,2020-12-14,2021-02-28,2026-02-28,34743.0,810,405,172
173,42,2022-08-25,2022-11-09,2024-11-09,32463.0,471,560,173
174,996,2023-08-25,2023-09-30,2027-09-30,70647.0,665,185,174
175,148,2019-11-11,2019-12-23,2023-12-23,15216.0,969,216,175
176,945,2020-03-14,2020-06-25,2021-06-25,60642.0,389,735,176
177,977,2023-11-06,2023-12-13,2026-12-13,20258.0,615,852,177
178,795,2020-06-30,2020-09-10,2023-09-10,43952.0,100,110,178
179,696,2020-04-03,2020-07-19,2024-07-19,59617.0,507,994,179
180,791,2023-09-18,2024-01-16,2028-01-16,64554.0,872,526,180
181,195,2020-11-14,2021-02-25,2025-02-25,62315.0,780,486,181
182,969,2024-02-26,2024-04-10,2026-04-10,,87,503,182
183,241,2023-10-09,2023-11-29,2024-11-29,43412.0,236,436,183
184,844,2023-02-27,2023-06-03,2026-06-03,47790.0,428,149,184
185,760,2023-08-01,2023-09-19,2024-09-19,26720.0,485,236,185
186,199,2020-12-25,2021-02-01,2022-02-01,43838.0,910,655,186
187,678,2020-05-20,2020-06-27,2023-06-27,18522.0,361,717,187
188,798,2023-06-07,2023-08-22,2026-08-22,53397.0,994,648,188
189,758,2022-06-16,2022-08-19,2026-08-19,38169.0,243,421,189
190,877,2022-09-20,2022-12-23,2027-12-23,69982.0,398,369,190
191,360,2019-09-21,2019-12-20,2020-12-20,40696.0,431,622,191
192,573,2021-03-24,2021-07-11,2022-07-11,40238.0,653,57,192
193,319,2020-08-06,2020-10-01,2022-10-01,20858.0,734,890,193
194,616,2020-11-14,2021-01-22,2022-01-22,46351.0,68,280,194
195,205,2021-01-01,2021-04-21,2023-04-21,37383.0,644,304,195
196,177,2019-10-13,2019-12-09,2021-12-09,17345.0,84,180,196
197,621,2023-06-26,2023-09-21,2024-09-21,62769.0,981,265,197
198,186,2022-08-25,2022-12-20,2025-12-20,33175.0,899,530,198
199,408,2019-09-07,2019-12-20,2023-12-20,23988.0,889,80,199
200,962,2023-05-20,2023-08-10,2027-08-10,38620.0,523,176,200
201,404,2024-02-07,2024-03-14,2028-03-14,66428.0,57,449,201
202,562,2022-04-26,2022-08-20,2023-08-20,67281.0,724,832,202
203,936,2020-03-25,2020-06-05,2023-06-05,55059.0,39,522,203
204,271,2020-01-30,2020-04-19,2023-04-19,44291.0,588,936,204
205,640,2020-01-10,2020-04-06,2022-04-06,20294.0,52,952,205
206,747,2022-07-02,2022-10-20,2023-10-20,46398.0,911,188,206
207,630,2022-11-19,2023-03-03,2028-03-03,29605.0,98,285,207
208,87,2021-12-24,2022-04-06,2024-04-06,29934.0,676,198,208
209,334,2020-08-21,2020-10-03,2022-10-03,59532.0,335,196,209
210,483,2023-07-08,2023-08-26,2026-08-26,62814.0,859,114,210
211,917,2021-05-23,2021-08-30,2023-08-30,69802.0,385,773,211
212,544,2020-11-05,2021-01-29,2023-01-29,70122.0,865,519,212
213,238,2021-02-28,2021-04-30,2024-04-30,44454.0,293,349,213
214,323,2023-02-11,2023-06-01,2026-06-01,66827.0,230,972,214
215,306,2022-06-18,2022-08-16,2027-08-16,50572.0,984,337,215
216,85,2020-05-08,2020-06-19,2025-06-19,22092.0,366,536,216
217,228,2020-07-30,2020-09-06,2023-09-06,29046.0,244,333,217
218,773,2022-01-05,2022-05-02,2024-05-02,38729.0,198,101,218
219,953,2019-12-29,2020-02-06,2022-02-06,24696.0,838,823,219
220,819,2020-04-02,2020-07-02,2021-07-02,50859.0,850,910,220
221,558,2020-08-27,2020-10-20,2025-10-20,62520.0,457,36,221
222,394,2019-03-14,2019-05-25,2023-05-25,16829.0,601,474,222
223,303,2023-06-22,2023-09-25,2026-09-25,62353.0,989,41,223
224,143,2023-11-19,2024-02-26,2029-02-26,30606.0,339,657,224
225,352,2023-08-07,2023-11-21,2028-11-21,27168.0,747,272,225
226,166,2021-05-15,2021-07-26,2023-07-26,43383.0,770,195,226
227,891,2020-06-13,2020-09-01,2025-09-01,37403.0,586,248,227
228,941,2022-08-17,2022-11-13,2025-11-13,28987.0,978,217,228
229,31,2020-07-30,2020-10-07,2025-10-07,24233.0,700,467,229
230,351,2020-08-21,2020-10-12,2022-10-12,48183.0,871,913,230
231,657,2022-03-01,2022-04-30,2026-04-30,,418,711,231
232,666,2021-12-19,2022-02-06,2027-02-06,68089.0,404,960,232
233,697,2020-12-16,2021-01-31,2023-01-31,47364.0,229,247,233
234,287,2019-10-15,2019-11-21,2020-11-21,40846.0,150,250,234
235,864,2021-01-15,2021-04-24,2025-04-24,44079.0,741,634,235
236,372,2023-09-25,2023-12-10,2025-12-10,71015.0,737,971,236
237,134,2022-07-13,2022-10-22,2024-10-22,21165.0,890,440,237
238,749,2023-02-20,2023-04-20,2025-04-20,49955.0,118,603,238
239,311,2021-09-14,2021-12-15,2023-12-15,22198.0,518,314,239
240,899,2024-03-17,2024-05-13,2028-05-13,42042.0,257,281,240
241,425,2021-03-20,2021-05-21,2023-05-21,70996.0,650,812,241
242,33,2020-06-05,2020-08-10,2024-08-10,69112.0,572,906,242
243,714,2020-10-31,2020-12-23,2024-12-23,60415.0,410,502,243
244,651,2021-11-20,2022-01-08,2026-01-08,49372.0,591,88,244
245,676,2021-08-08,2021-10-22,2024-10-22,46429.0,115,70,245
246,985,2024-03-09,2024-06-04,2028-06-04,40583.0,742,698,246
247,865,2023-07-08,2023-09-05,2026-09-05,16226.0,199,613,247
248,470,2021-05-31,2021-09-04,2025-09-04,40889.0,214,626,248
249,23,2022-03-13,2022-05-11,2026-05-11,34651.0,294,10,249
250,491,2024-03-09,2024-07-03,2026-07-03,15497.0,639,115,250
251,333,2022-12-11,2023-03-26,2027-03-26,42861.0,105,572,251
252,992,2020-06-19,2020-07-21,2024-07-21,34022.0,799,552,252
253,752,2023-10-10,2024-01-14,2027-01-14,21511.0,995,380,253
254,692,2019-09-19,2019-12-08,2022-12-08,31537.0,773,747,254
255,412,2022-05-10,2022-08-18,2024-08-18,,720,978,255
256,835,2019-09-27,2019-12-22,2022-12-22,32775.0,594,880,256
257,30,2021-03-16,2021-05-24,2022-05-24,32998.0,498,491,257
258,444,2022-06-15,2022-08-14,2026-08-14,56136.0,775,205,258
259,105,2021-01-18,2021-03-31,2023-03-31,38186.0,794,886,259
260,849,2021-05-06,2021-06-16,2022-06-16,54920.0,490,214,260
261,330,2023-12-23,2024-04-22,2029-04-22,,261,659,261
262,421,2023-02-16,2023-04-14,2026-04-14,56780.0,62,326,262
263,615,2021-01-23,2021-04-21,2025-04-21,35317.0,860,22,263
264,614,2022-07-22,2022-10-20,2027-10-20,67613.0,102,303,264
265,196,2022-04-13,2022-07-22,2023-07-22,,191,950,265
266,18,2020-06-14,2020-09-06,2022-09-06,33164.0,370,50,266
267,49,2022-02-28,2022-04-06,2027-04-06,35777.0,145,456,267
268,71,2019-07-27,2019-11-12,2020-11-12,57898.0,401,933,268
269,446,2023-04-08,2023-06-08,2026-06-08,65012.0,797,930,269
270,363,2019-09-08,2019-12-12,2023-12-12,45114.0,140,665,270
271,869,2024-01-05,2024-02-26,2025-02-26,47076.0,919,127,271
272,839,2021-01-22,2021-04-28,2025-04-28,45812.0,40,768,272
273,245,2020-03-29,2020-05-18,2021-05-18,22627.0,699,932,273
274,326,2023-01-28,2023-03-24,2025-03-24,68229.0,932,871,274
275,217,2024-02-26,2024-04-09,2027-04-09,51110.0,800,916,275
276,611,2022-12-30,2023-04-01,2026-04-01,34356.0,698,902,276
277,826,2021-11-05,2021-12-25,2025-12-25,55187.0,849,112,277
278,999,2023-01-26,2023-04-16,2026-04-16,68542.0,334,513,278
279,569,2019-12-03,2020-03-24,2023-03-24,41031.0,590,15,279
280,851,2022-11-16,2023-01-15,2026-01-15,67533.0,220,967,280
281,76,2020-05-22,2020-09-03,2021-09-03,48057.0,892,353,281
282,845,2022-09-22,2022-12-22,2024-12-22,15086.0,186,86,282
283,113,2023-11-17,2024-01-15,2025-01-15,32146.0,72,194,283
284,541,2021-04-22,2021-05-29,2022-05-29,43555.0,712,989,284
285,886,2023-10-13,2024-02-12,2025-02-12,28877.0,716,439,285
286,129,2022-08-12,2022-10-07,2023-10-07,73345.0,637,946,286
287,180,2020-02-29,2020-05-06,2025-05-06,30874.0,999,461,287
288,821,2019-09-19,2019-10-24,2021-10-24,,862,305,288
289,519,2021-01-03,2021-03-12,2024-03-12,,402,640,289
290,553,2022-03-27,2022-07-17,2024-07-17,60840.0,446,669,290
291,853,2023-02-10,2023-03-28,2025-03-28,18745.0,170,256,291
292,597,2021-12-11,2022-03-30,2026-03-30,36613.0,296,210,292
293,762,2023-04-20,2023-07-09,2025-07-09,69197.0,162,471,293
294,367,2022-10-15,2022-12-12,2026-12-12,72465.0,32,749,294
295,944,2022-06-11,2022-09-13,2025-09-13,65747.0,310,561,295
296,783,2021-05-22,2021-09-05,2025-09-05,74512.0,300,178,296
297,298,2023-10-21,2024-01-29,2026-01-29,20622.0,409,25,297
298,967,2019-10-12,2019-12-01,2022-12-01,49961.0,669,74,298
299,151,2021-08-10,2021-09-13,2024-09-13,50922.0,119,726,299
300,808,2023-05-11,2023-06-29,2028-06-29,,114,221,300
301,688,2020-03-06,2020-06-11,2023-06-11,57838.0,423,121,301
302,54,2024-03-26,2024-07-07,2029-07-07,26366.0,986,477,302
303,455,2021-07-16,2021-11-11,2024-11-11,60253.0,567,911,303
304,387,2020-05-20,2020-07-31,2025-07-31,15196.0,172,917,304
305,101,2023-03-13,2023-04-28,2028-04-28,67101.0,520,617,305
